token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
degradation earth science,56,56,56,1,1,2
erosion sedimentation degradation,55,55,55,1,1,2
erosion sedimentation sediment,55,55,55,1,1,2
instruments probes steel,55,55,55,1,1,2
probes steel measuring,55,55,55,1,1,2
sedimentation degradation earth,55,55,55,1,1,2
sedimentation sediment transport,55,55,55,1,1,2
steel measuring tape,55,55,55,1,1,2
collectors sediment traps,54,54,54,1,1,2
erosion sedimentation sedimentation,54,54,54,1,1,2
sedimentation sedimentation earth,54,54,54,1,1,2
traps collectors sediment,54,54,54,1,1,2
deposits earth science,53,53,53,1,1,2
erosion sedimentation sediments,53,53,53,1,1,2
sedimentation sediments earth,53,53,53,1,1,2
entrainment earth science,52,52,52,1,1,2
erosion sedimentation entrainment,52,52,52,1,1,2
erosion sedimentation suspended,52,52,52,1,1,2
field station hourly,52,52,52,1,1,2
lake records varve,52,52,52,1,1,2
records varve deposits,52,52,52,1,1,2
sedimentation entrainment earth,52,52,52,1,1,2
sedimentation suspended solids,52,52,52,1,1,2
varve deposits earth,52,52,52,1,1,2
current meters manned,51,51,51,1,1,2
meters manned field,51,51,51,1,1,2
turbidity earth science,38,38,38,1,1,2
positioning system earth,36,36,36,1,1,2
system earth remote,36,36,36,1,1,2
marine sediments turbidity,35,35,35,1,1,2
sediments turbidity earth,35,35,35,1,1,2
acoustic sounders echo,34,34,34,1,1,2
conductivity meters earth,34,34,34,1,1,2
inlandwaters oceans environment,34,34,34,1,1,2
lake levels earth,34,34,34,1,1,2
lake records lake,34,34,34,1,1,2
levels earth science,34,34,34,1,1,2
meters earth remote,34,34,34,1,1,2
oceans environment climatologymeteorologyatmosphere,34,34,34,1,1,2
records lake levels,34,34,34,1,1,2
sediments sediment transport,34,34,34,1,1,2
sounders echo sounders,34,34,34,1,1,2
stream gauges earth,34,34,34,1,1,2
1 hour monthly,33,33,33,1,1,2
annual 1 minute,33,33,33,1,1,2
monthly inlandwaters oceans,33,33,33,1,1,2
weekly annual 1,33,33,33,1,1,2
1 hour weekly,18,18,18,1,1,2
corers earth remote,18,18,18,1,1,2
sediment corers earth,18,18,18,1,1,2
dimensions environmental impacts,9,9,9,1,1,2
flasks jars water,8,8,8,1,1,2
jars water bottles,8,8,8,1,1,2
soils permafrost earth,8,8,8,1,1,2
surface water chemistry,8,8,8,1,1,2
analyzers ph meters,7,7,7,1,1,2
aquatic ecosystems coastal,7,7,7,1,1,2
chemistry stable isotopes,7,7,7,1,1,2
ecosystems coastal habitat,7,7,7,1,1,2
human settlements coastal,7,7,7,1,1,2
human settlements rural,7,7,7,1,1,2
mass spectrometers field,7,7,7,1,1,2
meters analyzers ph,7,7,7,1,1,2
ph earth science,7,7,7,1,1,2
surface soils permafrost,7,7,7,1,1,2
surface water surface,7,7,7,1,1,2
water surface water,7,7,7,1,1,2
coastal habitat earth,6,6,6,1,1,2
ecosystem functions respiration,6,6,6,1,1,2
functions respiration rate,6,6,6,1,1,2
ice sheet motion,6,6,6,1,1,2
agriculture production earth,5,5,5,1,1,2
aquatic ecosystems marine,5,5,5,1,1,2
biogeochemical cycles earth,5,5,5,1,1,2
depth land character,5,5,5,1,1,2
ecology arctic biota,5,5,5,1,1,2
economic resources agriculture,5,5,5,1,1,2
ecosystems dunes earth,5,5,5,1,1,2
ecosystems earth science,5,5,5,1,1,2
ecosystems marine habitat,5,5,5,1,1,2
field station biota,5,5,5,1,1,2
glacier motion ice,5,5,5,1,1,2
hazards severe storms,5,5,5,1,1,2
marine habitat earth,5,5,5,1,1,2
meters 1 kilometer,5,5,5,1,1,2
motion ice sheet,5,5,5,1,1,2
natural hazards severe,5,5,5,1,1,2
ocean temperature sea,5,5,5,1,1,2
oceans earth science,5,5,5,1,1,2
production earth science,5,5,5,1,1,2
rate earth science,5,5,5,1,1,2
resources agriculture production,5,5,5,1,1,2
respiration rate earth,5,5,5,1,1,2
science oceans earth,5,5,5,1,1,2
sea ice salinity,5,5,5,1,1,2
sensors automatic remote,5,5,5,1,1,2
severe storms field,5,5,5,1,1,2
snow depth land,5,5,5,1,1,2
soils carbon earth,5,5,5,1,1,2
station unknown biota,5,5,5,1,1,2
storms field survey,5,5,5,1,1,2
temperature sea surface,5,5,5,1,1,2
temperature sensors automatic,5,5,5,1,1,2
terrestrial ecosystems dunes,5,5,5,1,1,2
10 kilometers annual,4,4,4,1,1,2
100 meters daily,4,4,4,1,1,2
agricultural lands earth,4,4,4,1,1,2
agriculture indicators erosion,4,4,4,1,1,2
artifacts lithics bone,4,4,4,1,1,2
atmospheric winds turbulence,4,4,4,1,1,2
biomass earth science,4,4,4,1,1,2
biosphere vegetation biomass,4,4,4,1,1,2
chemistry carbon dioxide,4,4,4,1,1,2
chemistry field survey,4,4,4,1,1,2
chemistry ph earth,4,4,4,1,1,2
classification plants earth,4,4,4,1,1,2
climate normal 30,4,4,4,1,1,2
coastal processes beaches,4,4,4,1,1,2
community dynamics invasive,4,4,4,1,1,2
detectors microscopes field,4,4,4,1,1,2
dimensions sustainability environmental,4,4,4,1,1,2
dynamics invasive species,4,4,4,1,1,2
ecosystems agricultural lands,4,4,4,1,1,2
ecosystems beaches earth,4,4,4,1,1,2
environmental sustainability earth,4,4,4,1,1,2
extreme weather earth,4,4,4,1,1,2
human settlements earth,4,4,4,1,1,2
hydrosphere indicators permafrost,4,4,4,1,1,2
indicators erosion earth,4,4,4,1,1,2
indicators permafrost melt,4,4,4,1,1,2
indicators snow cover,4,4,4,1,1,2
indicators teleconnections arctic,4,4,4,1,1,2
irms isotopic ratio,4,4,4,1,1,2
isotopic ratio mass,4,4,4,1,1,2
land management earth,4,4,4,1,1,2
lands earth science,4,4,4,1,1,2
landscape landscape management,4,4,4,1,1,2
landscape landscape processes,4,4,4,1,1,2
landscape management earth,4,4,4,1,1,2
landscape processes earth,4,4,4,1,1,2
lithics bone tools,4,4,4,1,1,2
lter ble lter,4,4,4,1,1,2
meters wind vanes,4,4,4,1,1,2
microscopes field survey,4,4,4,1,1,2
nets ship station,4,4,4,1,1,2
ocean chemistry stable,4,4,4,1,1,2
permafrost melt earth,4,4,4,1,1,2
pressure gauges mooring,4,4,4,1,1,2
probe earth remote,4,4,4,1,1,2
processes beaches earth,4,4,4,1,1,2
radiometers irms isotopic,4,4,4,1,1,2
ratio mass spectrometer,4,4,4,1,1,2
records earth science,4,4,4,1,1,2
records isotopes earth,4,4,4,1,1,2
settlements earth science,4,4,4,1,1,2
sheets glacier motion,4,4,4,1,1,2
ship ecology arctic,4,4,4,1,1,2
social behavior earth,4,4,4,1,1,2
soils earth science,4,4,4,1,1,2
spectrometers radiometers irms,4,4,4,1,1,2
stable isotopes earth,4,4,4,1,1,2
structure earth science,4,4,4,1,1,2
sustainability environmental sustainability,4,4,4,1,1,2
teleconnections arctic oscillation,4,4,4,1,1,2
temperature depth aircraft,4,4,4,1,1,2
temperature potential temperature,4,4,4,1,1,2
terrestrial ecosystems agricultural,4,4,4,1,1,2
terrestrial ecosystems beaches,4,4,4,1,1,2
vegetation biomass earth,4,4,4,1,1,2
weather earth science,4,4,4,1,1,2
wind meters wind,4,4,4,1,1,2
50 kilometers weekly,3,3,3,1,1,2
acoustic sounders upward,3,3,3,1,1,2
aeolian processes deflation,3,3,3,1,1,2
aeolian processes sedimentation,3,3,3,1,1,2
agriculture earth science,3,3,3,1,1,2
agriculture soils earth,3,3,3,1,1,2
air temperature precipitation,3,3,3,1,1,2
aircraft research aircraft,3,3,3,1,1,2
aleutian islands islands,3,3,3,1,1,2
archaeology aleutian islands,3,3,3,1,1,2
arctic biota environment,3,3,3,1,1,2
arctic oscillation earth,3,3,3,1,1,2
atlantic oscillation earth,3,3,3,1,1,2
atmosphere precipitation earth,3,3,3,1,1,2
atmospheric pressure atmospheric,3,3,3,1,1,2
behavior disaster response,3,3,3,1,1,2
biology biota oceans,3,3,3,1,1,2
biosphere vegetation earth,3,3,3,1,1,2
biota environment inlandwaters,3,3,3,1,1,2
boundaries administrative divisions,3,3,3,1,1,2
boundaries political divisions,3,3,3,1,1,2
carbon nitrogen phosphorus,3,3,3,1,1,2
cast ship arctic,3,3,3,1,1,2
chemistry organic carbon,3,3,3,1,1,2
chemistry water ion,3,3,3,1,1,2
coastal landforms beaches,3,3,3,1,1,2
coastal landforms earth,3,3,3,1,1,2
coastal landforms processes,3,3,3,1,1,2
coastal landforms shorelines,3,3,3,1,1,2
coastal processes dunes,3,3,3,1,1,2
community dynamics grazing,3,3,3,1,1,2
compounds nitrogen oxides,3,3,3,1,1,2
corers ship station,3,3,3,1,1,2
cryospheric indicators earth,3,3,3,1,1,2
cycles earth science,3,3,3,1,1,2
deflation earth science,3,3,3,1,1,2
dimensions boundaries administrative,3,3,3,1,1,2
dimensions boundaries political,3,3,3,1,1,2
dimensions earth science,3,3,3,1,1,2
disaster response earth,3,3,3,1,1,2
dynamics grazing dynamics,3,3,3,1,1,2
dynamics plant ecology,3,3,3,1,1,2
dynamics plant herbivory,3,3,3,1,1,2
ecosystem functions photosynthesis,3,3,3,1,1,2
environment oceans society,3,3,3,1,1,2
environmental impacts earth,3,3,3,1,1,2
erosion sedimentation stratigraphic,3,3,3,1,1,2
field survey ship,3,3,3,1,1,2
freeze thaw earth,3,3,3,1,1,2
functions photosynthesis earth,3,3,3,1,1,2
geomorphology coastal landforms,3,3,3,1,1,2
governance management earth,3,3,3,1,1,2
herbivory earth science,3,3,3,1,1,2
human dimensions earth,3,3,3,1,1,2
ice freeze thaw,3,3,3,1,1,2
ice ice temperature,3,3,3,1,1,2
ice motion drifting,3,3,3,1,1,2
ice salinity earth,3,3,3,1,1,2
ice thickness arctic,3,3,3,1,1,2
imager earth remote,3,3,3,1,1,2
impacts earth science,3,3,3,1,1,2
index earth science,3,3,3,1,1,2
indicators soil temperature,3,3,3,1,1,2
indicators teleconnections north,3,3,3,1,1,2
indicators volcanic activity,3,3,3,1,1,2
interactions grazing dynamics,3,3,3,1,1,2
ion concentration earth,3,3,3,1,1,2
lake records isotopes,3,3,3,1,1,2
land cover classification,3,3,3,1,1,2
land cover earth,3,3,3,1,1,2
land tenure earth,3,3,3,1,1,2
landforms beaches earth,3,3,3,1,1,2
landforms shorelines earth,3,3,3,1,1,2
logs arctic ancillary,3,3,3,1,1,2
management land tenure,3,3,3,1,1,2
measuring tape manned,3,3,3,1,1,2
methane carbon dioxide,3,3,3,1,1,2
microwave imager earth,3,3,3,1,1,2
monthly climatologymeteorologyatmosphere environment,3,3,3,1,1,2
motion drifting buoy,3,3,3,1,1,2
mountains artifacts lithics,3,3,3,1,1,2
multichannel microwave radiometer,3,3,3,1,1,2
nasa eos terra,3,3,3,1,1,2
net oceanography arctic,3,3,3,1,1,2
north atlantic oscillation,3,3,3,1,1,2
ocean chemistry silicate,3,3,3,1,1,2
ocean optics turbidity,3,3,3,1,1,2
ocean winds turbulence,3,3,3,1,1,2
operations logs arctic,3,3,3,1,1,2
optics turbidity earth,3,3,3,1,1,2
oxygen earth science,3,3,3,1,1,2
paleoclimate indicators volcanic,3,3,3,1,1,2
photosynthesis earth science,3,3,3,1,1,2
plant ecology earth,3,3,3,1,1,2
plant herbivory earth,3,3,3,1,1,2
political divisions earth,3,3,3,1,1,2
population interactions grazing,3,3,3,1,1,2
potential temperature earth,3,3,3,1,1,2
precipitation earth science,3,3,3,1,1,2
processes coastal processes,3,3,3,1,1,2
processes deflation earth,3,3,3,1,1,2
processes dunes earth,3,3,3,1,1,2
radar earth remote,3,3,3,1,1,2
radiometers net radiometers,3,3,3,1,1,2
radiometers smmr scanning,3,3,3,1,1,2
research aircraft arctic,3,3,3,1,1,2
response earth science,3,3,3,1,1,2
river beaufort lagoon,3,3,3,1,1,2
river kuparuk river,3,3,3,1,1,2
sampling arctic ecology,3,3,3,1,1,2
scanning multichannel microwave,3,3,3,1,1,2
science agriculture earth,3,3,3,1,1,2
sediment corers ship,3,3,3,1,1,2
smmr scanning multichannel,3,3,3,1,1,2
snow ice freeze,3,3,3,1,1,2
snow stratigraphy earth,3,3,3,1,1,2
social behavior disaster,3,3,3,1,1,2
soil carbon nitrogen,3,3,3,1,1,2
soil ph earth,3,3,3,1,1,2
soils soil ph,3,3,3,1,1,2
solar radiation earth,3,3,3,1,1,2
spectrometers radiometers net,3,3,3,1,1,2
spectrometers radiometers smmr,3,3,3,1,1,2
station biota environment,3,3,3,1,1,2
stratigraphy earth science,3,3,3,1,1,2
surface geomorphology coastal,3,3,3,1,1,2
