token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
svalbard norway,19,19,19,1,1,2
stable isotope,15,15,15,1,1,2
2008 2010,8,8,8,1,1,2
environmental change,8,8,8,1,1,2
sediment data,8,8,8,1,1,2
thule greenland,8,8,8,1,1,2
tidewater glacier,8,8,8,1,1,2
ice deformation,7,7,7,1,1,2
kongsfjorden svalbard,7,7,7,1,1,2
nutrient concentrations,7,7,7,1,1,2
spitsbergen svalbard,7,7,7,1,1,2
water level,7,7,7,1,1,2
2010 2012,6,6,6,1,1,2
2012 2015,6,6,6,1,1,2
2016 2018,6,6,6,1,1,2
2016 2019,6,6,6,1,1,2
islands alaska,6,6,6,1,1,2
stable isotopes,6,6,6,1,1,2
surface temperature,6,6,6,1,1,2
svalbard 2010,6,6,6,1,1,2
traditional knowledge,6,6,6,1,1,2
2011 2017,5,5,5,1,1,2
aleutian islands,5,5,5,1,1,2
analysis aleutian,5,5,5,1,1,2
arctic region,5,5,5,1,1,2
artifact analysis,5,5,5,1,1,2
bering chukchi,5,5,5,1,1,2
chemical data,5,5,5,1,1,2
co2 flux,5,5,5,1,1,2
ecosystem research,5,5,5,1,1,2
hydrogen isotope,5,5,5,1,1,2
integrated ecosystem,5,5,5,1,1,2
isotope composition,5,5,5,1,1,2
knowledge component,5,5,5,1,1,2
lake field,5,5,5,1,1,2
lake ice,5,5,5,1,1,2
lake linné,5,5,5,1,1,2
linnébreen svalbard,5,5,5,1,1,2
linnévatnet spitsbergen,5,5,5,1,1,2
mountains artifact,5,5,5,1,1,2
norway 2016,5,5,5,1,1,2
physical properties,5,5,5,1,1,2
polar pathfinder,5,5,5,1,1,2
profiler adcp,5,5,5,1,1,2
sea integrated,5,5,5,1,1,2
sea surface,5,5,5,1,1,2
tn249 10,5,5,5,1,1,2
1994 1996,4,4,4,1,1,2
2012 2018,4,4,4,1,1,2
2014 2017,4,4,4,1,1,2
alaska 1999,4,4,4,1,1,2
arctic clouds,4,4,4,1,1,2
arctic water,4,4,4,1,1,2
baffin bay,4,4,4,1,1,2
boreal forests,4,4,4,1,1,2
climate system,4,4,4,1,1,2
data 2009,4,4,4,1,1,2
data archive,4,4,4,1,1,2
database baid,4,4,4,1,1,2
denmark strait,4,4,4,1,1,2
drifting buoy,4,4,4,1,1,2
ecology data,4,4,4,1,1,2
ecosystem function,4,4,4,1,1,2
ecosystem model,4,4,4,1,1,2
glacial ablation,4,4,4,1,1,2
greenland firn,4,4,4,1,1,2
healy hly1301,4,4,4,1,1,2
ice temperature,4,4,4,1,1,2
information database,4,4,4,1,1,2
island alaska,4,4,4,1,1,2
ivotuk site,4,4,4,1,1,2
kronebreen kongsvegen,4,4,4,1,1,2
lake linnévatnet,4,4,4,1,1,2
linné svalbard,4,4,4,1,1,2
linnévatnet svalbard,4,4,4,1,1,2
microbial biomass,4,4,4,1,1,2
monitoring data,4,4,4,1,1,2
nutrient cycling,4,4,4,1,1,2
ocean 2016,4,4,4,1,1,2
ocean 2018,4,4,4,1,1,2
oxygen isotope,4,4,4,1,1,2
plant species,4,4,4,1,1,2
polar sea,4,4,4,1,1,2
program b69,4,4,4,1,1,2
raw adcp,4,4,4,1,1,2
research community,4,4,4,1,1,2
research experience,4,4,4,1,1,2
research program,4,4,4,1,1,2
research spatial,4,4,4,1,1,2
river discharge,4,4,4,1,1,2
sea 2016,4,4,4,1,1,2
seas 2014,4,4,4,1,1,2
sediment flux,4,4,4,1,1,2
snow depths,4,4,4,1,1,2
soil chemistry,4,4,4,1,1,2
soil properties,4,4,4,1,1,2
summer 2009,4,4,4,1,1,2
svalbard 2011,4,4,4,1,1,2
system model,4,4,4,1,1,2
warming arctic,4,4,4,1,1,2
150 khz,3,3,3,1,1,2
1979 2013,3,3,3,1,1,2
1985 2017,3,3,3,1,1,2
1995 2001,3,3,3,1,1,2
2000 2002,3,3,3,1,1,2
2000 2016,3,3,3,1,1,2
2002 2004,3,3,3,1,1,2
2004 2006,3,3,3,1,1,2
2004 2010,3,3,3,1,1,2
2008 2011,3,3,3,1,1,2
2009 2017,3,3,3,1,1,2
2010 2017,3,3,3,1,1,2
2011 2015,3,3,3,1,1,2
2014 2019,3,3,3,1,1,2
al 2014,3,3,3,1,1,2
alaska 1961,3,3,3,1,1,2
alaska 1980,3,3,3,1,1,2
alaska 1985,3,3,3,1,1,2
alaska 1997,3,3,3,1,1,2
alaska 2001,3,3,3,1,1,2
alaska 2002,3,3,3,1,1,2
alaska 2004,3,3,3,1,1,2
alaska 2005,3,3,3,1,1,2
alaska july,3,3,3,1,1,2
alaskan arctic,3,3,3,1,1,2
antarctic ice,3,3,3,1,1,2
arctic data,3,3,3,1,1,2
arctic glacier,3,3,3,1,1,2
arctic infrared,3,3,3,1,1,2
arctic polar,3,3,3,1,1,2
arctic soils,3,3,3,1,1,2
atmospheric chemistry,3,3,3,1,1,2
avhrr polar,3,3,3,1,1,2
avhrr satellite,3,3,3,1,1,2
balance model,3,3,3,1,1,2
barrow landfast,3,3,3,1,1,2
biogeochemical data,3,3,3,1,1,2
biological data,3,3,3,1,1,2
borehole data,3,3,3,1,1,2
boundary layer,3,3,3,1,1,2
camden bay,3,3,3,1,1,2
carbon monoxide,3,3,3,1,1,2
chamberlin glacier,3,3,3,1,1,2
change observations,3,3,3,1,1,2
chukchi shelf,3,3,3,1,1,2
circum arctic,3,3,3,1,1,2
clumped isotope,3,3,3,1,1,2
collaborative proposal,3,3,3,1,1,2
composition data,3,3,3,1,1,2
cores collected,3,3,3,1,1,2
crrel tunnel,3,3,3,1,1,2
cultural implications,3,3,3,1,1,2
data 2017,3,3,3,1,1,2
data lake,3,3,3,1,1,2
data prudhoe,3,3,3,1,1,2
data report,3,3,3,1,1,2
depth ascii,3,3,3,1,1,2
dissertation research,3,3,3,1,1,2
dissolved oxygen,3,3,3,1,1,2
drainage basin,3,3,3,1,1,2
ellesmere island,3,3,3,1,1,2
fed lake,3,3,3,1,1,2
fertilization experiment,3,3,3,1,1,2
fine root,3,3,3,1,1,2
firn air,3,3,3,1,1,2
firn temperatures,3,3,3,1,1,2
frost flowers,3,3,3,1,1,2
future climate,3,3,3,1,1,2
genbank accession,3,3,3,1,1,2
glacier arctic,3,3,3,1,1,2
glacier retreat,3,3,3,1,1,2
glacier surface,3,3,3,1,1,2
glacier svalbard,3,3,3,1,1,2
greenland fjord,3,3,3,1,1,2
greenland icebergs,3,3,3,1,1,2
greenland snow,3,3,3,1,1,2
gridded surface,3,3,3,1,1,2
hourly gridded,3,3,3,1,1,2
hourly interpolated,3,3,3,1,1,2
ice age,3,3,3,1,1,2
ice algae,3,3,3,1,1,2
ice covered,3,3,3,1,1,2
individual fatty,3,3,3,1,1,2
itex aon,3,3,3,1,1,2
ivotuk alaska,3,3,3,1,1,2
june 2011,3,3,3,1,1,2
