token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
norway,24,24,24,1,1,2
understanding,15,15,15,1,1,2
records,13,13,13,1,1,2
knowledge,12,12,12,1,1,2
transport,12,12,12,1,1,2
tidewater,11,11,11,1,1,2
kronebreen,10,10,10,1,1,2
modern,10,10,10,1,1,2
ablation,9,9,9,1,1,2
assessing,9,9,9,1,1,2
kongsvegen,9,9,9,1,1,2
local,9,9,9,1,1,2
proglacial,9,9,9,1,1,2
sources,9,9,9,1,1,2
component,8,8,8,1,1,2
kongsfjorden,8,8,8,1,1,2
quantifying,8,8,8,1,1,2
simulated,8,8,8,1,1,2
traditional,8,8,8,1,1,2
transects,8,8,8,1,1,2
1985,7,7,7,1,1,2
age,7,7,7,1,1,2
deformation,7,7,7,1,1,2
individual,7,7,7,1,1,2
influence,7,7,7,1,1,2
linné,7,7,7,1,1,2
lower,7,7,7,1,1,2
offshore,7,7,7,1,1,2
past,7,7,7,1,1,2
pollen,7,7,7,1,1,2
responses,7,7,7,1,1,2
selected,7,7,7,1,1,2
temporal,7,7,7,1,1,2
dynamic,6,6,6,1,1,2
formation,6,6,6,1,1,2
frost,6,6,6,1,1,2
modeled,6,6,6,1,1,2
recent,6,6,6,1,1,2
reconstruction,6,6,6,1,1,2
runoff,6,6,6,1,1,2
shifts,6,6,6,1,1,2
sicsp,6,6,6,1,1,2
transition,6,6,6,1,1,2
university,6,6,6,1,1,2
variations,6,6,6,1,1,2
adjacent,5,5,5,1,1,2
aleutian,5,5,5,1,1,2
antarctic,5,5,5,1,1,2
artifact,5,5,5,1,1,2
caribou,5,5,5,1,1,2
chamberlin,5,5,5,1,1,2
dates,5,5,5,1,1,2
drifting,5,5,5,1,1,2
emissions,5,5,5,1,1,2
expansion,5,5,5,1,1,2
hydrologic,5,5,5,1,1,2
hydrological,5,5,5,1,1,2
magnetic,5,5,5,1,1,2
maximum,5,5,5,1,1,2
mechanisms,5,5,5,1,1,2
natural,5,5,5,1,1,2
nature,5,5,5,1,1,2
pathfinder,5,5,5,1,1,2
photosynthesis,5,5,5,1,1,2
potential,5,5,5,1,1,2
process,5,5,5,1,1,2
relationships,5,5,5,1,1,2
sensitivity,5,5,5,1,1,2
sensors,5,5,5,1,1,2
stratigraphy,5,5,5,1,1,2
support,5,5,5,1,1,2
testing,5,5,5,1,1,2
tracking,5,5,5,1,1,2
variation,5,5,5,1,1,2
village,5,5,5,1,1,2
villages,5,5,5,1,1,2
watersheds,5,5,5,1,1,2
weathering,5,5,5,1,1,2
13c,4,4,4,1,1,2
150,4,4,4,1,1,2
1961,4,4,4,1,1,2
1989,4,4,4,1,1,2
adaptations,4,4,4,1,1,2
b69,4,4,4,1,1,2
benthos,4,4,4,1,1,2
biology,4,4,4,1,1,2
capacity,4,4,4,1,1,2
catchment,4,4,4,1,1,2
century,4,4,4,1,1,2
characterizing,4,4,4,1,1,2
clumped,4,4,4,1,1,2
cod,4,4,4,1,1,2
code,4,4,4,1,1,2
conference,4,4,4,1,1,2
