token,n,unique_ids,unique_authors,weighted_n,weighted_ids,score
aleutian islands alaska,5,5,5,1,1,2
analysis aleutian islands,5,5,5,1,1,2
artifact analysis aleutian,5,5,5,1,1,2
bering sea integrated,5,5,5,1,1,2
ctd data barrow,5,5,5,1,1,2
current profiler adcp,5,5,5,1,1,2
integrated ecosystem research,5,5,5,1,1,2
islands alaska 2013,5,5,5,1,1,2
kuparuk river watershed,5,5,5,1,1,2
lake field station,5,5,5,1,1,2
mountains artifact analysis,5,5,5,1,1,2
sea integrated ecosystem,5,5,5,1,1,2
stable isotope data,5,5,5,1,1,2
toolik lake field,5,5,5,1,1,2
traditional knowledge component,5,5,5,1,1,2
arctic ocean 2016,4,4,4,1,1,2
arctic ocean 2018,4,4,4,1,1,2
collaborative research spatial,4,4,4,1,1,2
drifting buoy data,4,4,4,1,1,2
ecosystem research program,4,4,4,1,1,2
information database baid,4,4,4,1,1,2
lake linné svalbard,4,4,4,1,1,2
linnévatnet spitsbergen svalbard,4,4,4,1,1,2
raw adcp data,4,4,4,1,1,2
research program b69,4,4,4,1,1,2
stable isotope composition,4,4,4,1,1,2
svalbard norway 2016,4,4,4,1,1,2
12 hourly gridded,3,3,3,1,1,2
12 hourly interpolated,3,3,3,1,1,2
150 khz adcp,3,3,3,1,1,2
alaska 1985 2017,3,3,3,1,1,2
alaska 2013 2016,3,3,3,1,1,2
alaska 2013 2017,3,3,3,1,1,2
alaska 2016 2018,3,3,3,1,1,2
arctic climate system,3,3,3,1,1,2
arctic ocean 2017,3,3,3,1,1,2
avhrr polar pathfinder,3,3,3,1,1,2
avhrr satellite data,3,3,3,1,1,2
central arctic ocean,3,3,3,1,1,2
change observations adaptations,3,3,3,1,1,2
chukchi sea offshore,3,3,3,1,1,2
chukchi seas 2014,3,3,3,1,1,2
collaborative research assessing,3,3,3,1,1,2
collaborative research greenland,3,3,3,1,1,2
collaborative research ipy,3,3,3,1,1,2
data prudhoe bay,3,3,3,1,1,2
doctoral dissertation research,3,3,3,1,1,2
glacier alaska 2014,3,3,3,1,1,2
hourly gridded surface,3,3,3,1,1,2
hydrogen isotope data,3,3,3,1,1,2
ice sheet surface,3,3,3,1,1,2
individual fatty acids,3,3,3,1,1,2
labrador nunatsiavut phenarc,3,3,3,1,1,2
lake ice thickness,3,3,3,1,1,2
leaf wax hydrogen,3,3,3,1,1,2
naicex data archive,3,3,3,1,1,2
pacific arctic region,3,3,3,1,1,2
paul island alaska,3,3,3,1,1,2
penetrating radar gpr,3,3,3,1,1,2
phenological change observations,3,3,3,1,1,2
profiler adcp data,3,3,3,1,1,2
raw 150 khz,3,3,3,1,1,2
sarqardleq fjord west,3,3,3,1,1,2
sea ice deformation,3,3,3,1,1,2
sea ice mass,3,3,3,1,1,2
sea offshore monitoring,3,3,3,1,1,2
stable isotope ratios,3,3,3,1,1,2
surface velocity fields,3,3,3,1,1,2
suspended sediment transport,3,3,3,1,1,2
svalbard norway 2005,3,3,3,1,1,2
svalbard norway 2006,3,3,3,1,1,2
svalbard research experience,3,3,3,1,1,2
taku glacier alaska,3,3,3,1,1,2
terascan avhrr satellite,3,3,3,1,1,2
tidewater glacier retreat,3,3,3,1,1,2
time series data,3,3,3,1,1,2
uscgc healy hly1201,3,3,3,1,1,2
utqiagvik barrow alaska,3,3,3,1,1,2
water balance model,3,3,3,1,1,2
water phytoplankton blooms,3,3,3,1,1,2
water quality data,3,3,3,1,1,2
wax hydrogen isotope,3,3,3,1,1,2
01 forward thermosalinograph,2,2,2,1,1,2
01 xbt data,2,2,2,1,1,2
02 01 dissolved,2,2,2,1,1,2
02 03 dissolved,2,2,2,1,1,2
02 03 service,2,2,2,1,1,2
02 03 zooplankton,2,2,2,1,1,2
03 ctd data,2,2,2,1,1,2
152 west 2010,2,2,2,1,1,2
152 west 2012,2,2,2,1,1,2
152 west 2013,2,2,2,1,1,2
2015 experimental burn,2,2,2,1,1,2
2m air temperature,2,2,2,1,1,2
40 2 meter,2,2,2,1,1,2
5 day composites,2,2,2,1,1,2
absorbing chemical species,2,2,2,1,1,2
acrobat towed profiler,2,2,2,1,1,2
aerial ctd survey,2,2,2,1,1,2
aerosol concentrations sources,2,2,2,1,1,2
